1,"Aboriginal and Torres Strait Islander Health Worker"
2,"Accountant (General)"
3,"Actuary"
4,"Acupuncturist"
5,"Advertising and Public Relations"
6,"Advertising Specialist"
7,"Aeronautical Engineer"
8,"Aeroplane Pilot"
9,"Agricultural Consultant"
10,"Agricultural Engineer"
11,"Agricultural Scientist"
12,"Agricultural Technician"
13,"Air Traffic Controller"
14,"Air Transport Professionals NEC"
15,"Airconditioning and Mechanical Services Plumber"
16,"Airconditioning and Refrigeration Mechanic"
17,"Aircraft Maintenance Engineer (Avionics)"
18,"Aircraft Maintenance Engineer (Mechanical)"
19,"Aircraft Maintenance Engineer (Structures)"
20,"Airconditioning and Refrigeration Mechanic"
21,"Ambulance Officer"
22,"Anaesthetist"
23,"Analyst Programmer"
24,"Anatomist or Physiologist"
25,"Apparel Cutter"
26,"Arborist"
27,"Architect"
28,"Architectural Draftsperson"
29,"Archivist"
30,"Art Director (Film Television or Stage)"
31,"Art Teacher (Private Tuition)"
32,"Artistic Director"
33,"Audiologist"
34,"Automotive Electrician"
35,"Baker"
36,"Barrister"
37,"Binder and Finisher"
38,"Biochemist"
39,"Biomedical Engineer"
40,"Blacksmith"
41,"Boat Builder and Repairer"
42,"Book or Script Editor"
43,"Botanist"
44,"Bricklayer"
45,"Broadcast Transmitter Operator"
46,"Building and Engineering Technicians NEC"
47,"Building Associate"
48,"Building Inspector"
49,"Business Machine Mechanic"
50,"Butcher or Smallgoods Maker"
51,"Cabinetmaker"
52,"Camera Operator (Film Television or Video)"
53,"Canvas Goods Maker"
54,"Cardiologist"
55,"Cardiothoracic Surgeon"
56,"Careers Counsellor"
57,"Carpenter"
58,"Carpenter and Joiner"
59,"Cartographer"
60,"Chef"
61,"Chemical Engineer"
62,"Chemical Plant Operator"
63,"Chemist"
64,"Chemistry Technician"
65,"Chief Information Officer"
66,"Child Care Centre Manager"
67,"Chiropractor"
68,"Civil Engineer"
69,"Civil Engineering Draftsperson"
70,"Civil Engineering Technician"
71,"Clinical Haematologist"
72,"Clinical Psychologist"
73,"Clothing Patternmaker"
74,"Commissioned Defence Force Officer"
75,"Commissioned Fire Officer"
76,"Commissioned Police Officer"
77,"Commodities Trader"
78,"Community Worker"
79,"Company Secretary"
80,"Composer"
81,"Computer Network and Systems Engineer"
82,"Conservator"
83,"Construction Project Manager"
84,"Contract Project or Program Administrator"
85,"Cook"
86,"Copywriter"
87,"Corporate General Manager"
88,"Corporate Treasurer"
89,"Counsellors NEC"
90,"Dance Teacher (Private Tuition)"
91,"Dancer or Choreographer"
92,"Database Administrator"
93,"Dental Hygienist"
94,"Dental Prothetist"
95,"Dental Specialist"
96,"Dental Technician"
97,"Dental Therapist"
98,"Dentist"
99,"Dermatologist"
100,"Developer Programmer"
101,"Diagnostic and Interventional Radiologist"
102,"Diesel Motor Mechanic"
103,"Dietitian"
104,"Director (Film Television Radio or Stage)"
105,"Director of Photography"
106,"Disabilities Services Officer"
107,"Drainer"
108,"Drama Teacher (Private Tuition)"
109,"Dressmaker or Tailor"
110,"Driller"
111,"Drug and Alcohol Counsellor"
112,"Early Childhood (Pre-Primary School) Teacher"
113,"Earth Science Technician"
114,"Economist"
115,"Education Adviser"
116,"Education Managers NEC"
117,"Educational Psychologist"
118,"Electorate Officer"
119,"Electrical Engineer"
120,"Electrical Engineering Draftsperson"
121,"Electrical Engineering Technician"
122,"Electrical Linesworker"
123,"Electrician (General)"
124,"Electrician (Special Class)"
125,"Electronic Engineering Draftsperson"
126,"Electronic Engineering Technician"
127,"Electronic Equipment Trades Worker"
128,"Electronic Instrument Trades Worker (General)"
129,"Electronic Instrument Trades Worker (Special Class)"
130,"Electronics Engineer"
131,"Electroplater"
132,"Emergency Medicine Specialist"
133,"Endocrinologist"
134,"Engineering Manager"
135,"Engineering Professionals NEC"
136,"Engineering Technologist"
137,"Engraver"
138,"Environmental Consultant"
139,"Environmental Engineer"
140,"Environmental Health Officer"
141,"Environmental Manager"
142,"Environmental Research Scientist"
143,"Electrical Engineer"
144,"Environmental Scientists NEC"
145,"External Auditor"
146,"Faculty Head"
147,"Family and Marriage Counsellor"
148,"Family Support Worker"
149,"Farrier"
150,"Fashion Designer"
151,"Fibrous Plasterer"
152,"Film and Video Editor"
153,"Finance Manager"
154,"Financial Dealers NEC"
155,"Financial Institution Branch Manager"
156,"Financial Investment Adviser"
157,"Financial Market Dealer"
158,"Fitter (General)"
159,"Fitter and Turner"
160,"Floor Finisher"
161,"Florist"
162,"Flying Instructor"
163,"Forester"
164,"Furniture Finisher"
165,"Futures Trader"
166,"Gallery or Museum Curator"
167,"Gallery or Museum Technician"
168,"Gardener (General)"
169,"Gas or Petroleum Operator"
170,"Gasfitter"
171,"Gastroenterologist"
172,"General Medical Practitioner"
173,"Geologist"
174,"Geophysicist"
175,"Geotechnical Engineer"
176,"Glazier"
177,"Graphic Designer"
178,"Graphic Pre-press Trades Worker"
179,"Greenkeeper"
180,"Gunsmith"
181,"Gymnastics Coach or Instructor"
182,"Hairdresser"
183,"Hardware Technician"
184,"Health Information Manager"
185,"Helicopter Pilot"
186,"Historian"
187,"Horse Riding Coach or Instructor"
188,"Horse Trainer"
189,"Hotel or Motel Manager"
190,"Human Resource Adviser"
191,"Human Resource Manager"
192,"ICT Account Manager"
193,"ICT Business Analyst"
194,"ICT Customer Support Officer"
195,"ICT Security Specialist"
196,"Illustrator"
197,"Importer or Exporter"
198,"Industrial Designer"
199,"Industrial Engineer"
200,"Information and Organisation Professionals NEC"
201,"Insurance Broker"
202,"Intelligence Officer"
203,"Intensive Care Ambulance Paramedic"
204,"Intensive Care Specialist"
205,"Interior Decorator"
206,"Interior Designer"
207,"Internal Auditor"
208,"Interpreter"
209,"Jeweller"
210,"Jockey"
211,"Joiner"
212,"Journalists and Other Writers NEC"
213,"Judicial and Other Legal Professionals NEC"
214,"Laboratory Manager"
215,"Land Economist"
216,"Landscape Architect"
217,"Landscape Gardener"
218,"Leather Goods Maker"
219,"Librarian"
220,"Library Technician"
221,"Life Science Technician"
222,"Life Scientists NEC"
223,"Lift Mechanic"
224,"Light Technician"
225,"Locksmith"
226,"Make Up Artist"
227,"Management Accountant"
228,"Management Consultant"
229,"Manufacturer"
230,"Marine Biologist"
231,"Market Research Analyst"
232,"Marketing Specialist"
233,"Massage Therapist"
234,"Master Fisher"
235,"Materials Engineer"
236,"Mathematician"
237,"Meat Inspector"
238,"Mechanical Engineer"
239,"Mechanical Engineering Draftsperson"
240,"Mechanical Engineering Technician"
241,"Media Producer (Excluding Video)"
242,"Medical Administrator"
243,"Medical Diagnostic Radiographer"
244,"Medical Laboratory Scientist"
245,"Medical Laboratory Technician"
246,"Medical Oncologist"
247,"Medical Practitioners NEC"
248,"Medical Radiation Therapist"
249,"Metal Casting Trades Worker"
250,"Metal Fabricator"
251,"Metal Fitter and Machinists NEC"
252,"Metallurgical or Materials Technician"
253,"Metallurgist"
254,"Metal Machinist (First Class)"
255,"Metal Polisher"
256,"Meteorologist"
257,"Microbiologist"
